method	uri	name	middleware
GET|HEAD	admin/catalog/brands	admin.catalog.brands.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:brands.manage
POST	admin/catalog/brands	admin.catalog.brands.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:brands.manage
GET|HEAD	admin/catalog/categories	admin.catalog.categories.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:categories.manage
POST	admin/catalog/categories	admin.catalog.categories.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:categories.manage
GET|HEAD	admin/catalog/price-adjustments	admin.catalog.price-adjustments.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.prices.adjust
POST	admin/catalog/price-adjustments	admin.catalog.price-adjustments.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.prices.adjust
GET|HEAD	admin/catalog/products	admin.catalog.products.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.view
POST	admin/catalog/products	admin.catalog.products.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.create
GET|HEAD	admin/catalog/products/create	admin.catalog.products.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.create
PUT	admin/catalog/products/{product}	admin.catalog.products.update	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.update
GET|HEAD	admin/catalog/products/{product}/edit	admin.catalog.products.edit	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:products.update
GET|HEAD	admin/catalog/suppliers	admin.catalog.suppliers.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:suppliers.view
POST	admin/catalog/suppliers	admin.catalog.suppliers.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:suppliers.create
GET|HEAD	admin/catalog/tax-rates	admin.catalog.tax-rates.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:tax-rates.manage
POST	admin/catalog/tax-rates	admin.catalog.tax-rates.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:tax-rates.manage
GET|HEAD	admin/commercial/purchases	admin.commercial.purchases.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchases.record
POST	admin/commercial/purchases	admin.commercial.purchases.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchases.record
GET|HEAD	admin/commercial/purchases/create	admin.commercial.purchases.create	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:purchases.record
GET|HEAD	admin/commercial/receivables	admin.commercial.receivables.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.receivables.view
GET|HEAD	admin/commercial/receivables/{customer}	admin.commercial.receivables.show	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.receivables.view
GET|HEAD	admin/commercial/vouchers	admin.commercial.vouchers.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:vouchers.manage
POST	admin/commercial/vouchers	admin.commercial.vouchers.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:vouchers.manage
GET|HEAD	admin/customers	admin.customers.index	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.view
POST	admin/customers	admin.customers.store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.create
POST	admin/customers/quick	admin.customers.quick-store	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.create
GET|HEAD	admin/customers/search	admin.customers.search	web,Illuminate\Auth\Middleware\Authenticate,App\Http\Middleware\EnsureAccountIsActive,App\Http\Middleware\EnforceSessionInactivity,App\Http\Middleware\EnforceBranchScope,App\Http\Middleware\RequirePermission:customers.view
